Group,1: Frequency Test,2: Block Frequency Test,3: Run Test,4: Longest Run of Ones Test,5: Binary Matrix Rank Test,6: Spectral Test,7: Non-overlapping Template Test,8: Overlapping Template Test,9: Universal Statistical Test,10: Linear Complexity Test,11: Serial Test,12: Approximate Entropy Test,13: Cumulative Sums Test,14: Random Excursions Test,15: Random Excursions Variant Test
23,0.4460600041601249,0.93196360743388,1.4989893944379678e-16,0.2849248292566482,0.7828647158075451,0.0223139589144959,0.00020408975635383044,0.21954889216615092,0.39901902214986584,0.317206029579675,"(0.21121375409138152, True)",0.4013437670426518,"(0.763575502195142, True)",0.3264466696761939,0.6895250992027915
24,0.6584892059270662,0.9994759643068897,9.456320943547507e-13,0.9492687159003061,0.08254831803648795,0.91959576955207,0.2432108653733359,0.28579588678188295,0.26825141344332193,0.18104786835251904,"(0.10525494887173606, True)",0.03577538832700804,"(0.4823114088898399, True)",0.7335749568645644,0.7726295188956586
25,0.5221725993857234,0.9599936620801482,8.290082025324793e-07,0.7500418186019542,0.42145061674821566,0.270811569981268,0.24748588580137226,0.8040560970002032,0.3101544423531022,0.5148051593694916,"(0.6172151488935349, True)",0.3634055266852364,"(0.8461899243392909, True)",0.8476246095538844,0.614918097563298
26,0.14650160524063333,0.6477084318048152,0.0003735246362423902,0.26425519641126316,0.997375398348416,0.03982446669776179,0.31609733618967967,0.014723352071129835,0.33100445791849553,0.8069848006210314,"(0.8417050022736845, True)",0.9712635440014158,"(0.2825618441457976, True)",0.2015759107237313,0.7228757069377084
27,0.22627889288795466,0.8900336376007112,2.2014200996932433e-07,0.5790352123941835,0.7533435734439548,0.633230586217982,0.09923171371435738,0.029483466755753855,0.38138123696002213,0.5932428091719983,"(0.15664310138552487, True)",0.3239467634668114,"(0.38496416534797995, True)",0.36991746403807624,0.35319869889319594
28,0.615667520979055,0.933002731705665,1.1962770050612638e-06,0.018538282256628468,0.8945837571376626,0.497093147294315,0.031081204411993666,0.5220666877003872,0.5770828071383722,0.5444353993756681,"(0.8102386776224021, True)",0.38103098197915936,"(0.5709554446015852, True)",0.586321944295054,0.5063259651703885
29,0.255956564302831,0.9459492303832049,3.669101510876002e-06,0.08287776903612559,0.28154639416869526,0.6529593400365595,0.5572731869674934,0.642954675843986,0.6465150235732644,0.5701128805869287,"(0.872210128373347, True)",0.3790196081700409,"(0.4273511856550843, True)",0.6082164099998636,0.5063536135118087
30,0.34211225261696365,0.5725102106312747,9.252391076891875e-07,0.4833489055777703,0.8328875725444838,0.4246576904302921,0.019611824811763726,0.05931533264282917,0.2516665195487042,0.19692997201706697,"(0.02218140850942827, True)",0.6921631353146073,"(0.6374745181062846, True)",0.37690174399332904,0.647639730185864
31,0.651268982440641,0.5929303339542715,3.050197683269605e-10,0.20118723926358978,0.2527770448278441,0.7204267236121527,0.007003626844330082,0.007468554643970804,0.07702989805645104,0.6530976785204317,"(0.5149934943532366, True)",0.7853572893476563,"(0.7802431021810772, True)",0.6717568010275943,0.5810827415331405
32,0.27046167161164536,0.15365960849429783,8.931498619552527e-08,0.6353974681293721,0.02833719273160606,0.3540098392683375,0.004669928662259148,0.09433525885470914,0.7860536005953247,0.07849064790780846,"(0.04980429179957034, True)",0.1687204725346839,"(0.4823114088898399, True)",0.5280553539396886,0.5777059006306394
