N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
7,3,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.008319008319008319,0,9.605142556569406e-17
7,4,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006843006843006843,0,7.853105604795008e-12
7,5,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.004699004699004699,0,2.72705969953568e-06
7,6,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007331007331007331,0,2.316254520690625e-13
8,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.007609007609007609,0,2.7865623330059672e-14
8,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007707007707007707,0,1.3072860648187113e-14
8,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00801100801100801,0,1.2188775030872175e-15
8,3,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008723008723008723,0,2.785367169706203e-18
8,4,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009085009085009085,0,1.1701606271402608e-19
8,5,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00903900903900904,0,1.6331889599304899e-19
8,6,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007035007035007035,0,2.1044747180230778e-12
8,7,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008819008819008819,0,1.2435584972737494e-18
9,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.005909005909005909,0,0.0
9,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,40.0,1,0.008467008467008466,0,2.814753767732609e-17
9,2,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007005007005007005,0,2.4991614578683694e-12
9,3,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009195009195009195,0,3.9028009879118304e-20
9,4,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.0081990081990082,0,2.6127413316634425e-16
9,5,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,46.666666666666664,1,0.007509007509007509,0,6.258073393260938e-14
9,6,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008825008825008826,0,1.2691630892893968e-18
9,7,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009827009827009826,0,0.0
9,8,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006623006623006623,0,3.5457144505537834e-11
10,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.011249011249011249,0,2.4805437929517986e-29
10,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008967008967008966,0,3.089959599491534e-19
10,2,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00876100876100876,0,2.0433127397466884e-18
10,3,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008283008283008283,0,0.0
10,4,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007469007469007469,0,8.961023543326268e-14
10,5,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008899008899008898,0,0.0
10,6,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00850900850900851,0,1.8712025163161274e-17
10,7,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009489009489009489,0,2.4110297945759888e-21
10,8,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009925009925009925,0,3.3454084515277835e-23
10,9,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.008157008157008157,0,3.573471070791487e-16
11,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008983008983008982,0,0.0
11,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008607008607008608,0,7.627206411572028e-18
11,2,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008025008025008025,0,1.0381618528379397e-15
11,3,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006381006381006381,0,1.7782113768050607e-10
11,4,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006359006359006359,0,2.0985022410474428e-10
11,5,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.006031006031006031,0,1.6551236028028296e-09
11,6,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007569007569007569,0,0.0
11,7,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008103008103008104,0,5.417594639611354e-16
11,8,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.006837006837006837,0,8.416532854218358e-12
11,9,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008729008729008728,0,0.0
11,10,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010667010667010667,0,0.0
12,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,33.33333333333333,1,0.011123011123011122,0,1.149048472295111e-28
12,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008759008759008759,0,2.008395961068679e-18
12,2,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.008145008145008145,0,3.853044680507079e-16
12,3,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007165007165007165,0,8.623615965127516e-13
12,4,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007845007845007844,0,0.0
12,5,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010307010307010306,0,7.06483998242775e-25
12,6,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009735009735009735,0,2.181997979597328e-22
12,7,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007019007019007019,0,0.0
12,8,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008265008265008264,0,1.4098318816942248e-16
12,9,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009127009127009127,0,7.47336453901837e-20
12,10,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009847009847009846,0,7.249371070141531e-23
12,11,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00844900844900845,0,2.988116234657332e-17
13,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008043008043008042,0,0.0
13,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00826100826100826,0,1.4573539868410481e-16
13,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007945007945007946,0,0.0
13,3,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009759009759009759,0,1.8611155764016646e-22
13,4,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008933008933008933,0,4.2937570814135956e-19
13,5,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009215009215009215,0,0.0
13,6,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008613008613008613,0,8.139427100715709e-18
13,7,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009095009095009095,0,1.0602585426423649e-19
13,8,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008173008173008173,0,3.275826699671202e-16
13,9,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009989009989009989,0,1.7263265163904556e-23
13,10,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009275009275009275,0,1.7941624313108908e-20
13,11,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010163010163010163,0,3.238419374732831e-24
13,12,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.008417008417008418,0,4.1147275651375513e-17
